*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Coulibaly YI, Dao S, Traore AK, Diallo A, Sacko M and Traore SF	2006	[Presence and risk of transmission of Wuchereria bancrofti is a reality in rural Mali: the case of the town of Bariambani in the Cirle of Kati]	Mali Med		Dec-17	1		21		MLI0005LF
Journal	De Clercq D, Sacko  M, Behnke J, Gilbert F, J. V	1998	The relationship between Schistosoma haematobium infection and school performance and attendance in Bamako, Mali	Annals of Tropical Medicine & Parasitology		851 - 858	8		92		MLI0006
Journal	Doumbo O, Dabo A, Diallo M, Doucoure B, Akory AI, Balique H, Quilici M	1992	"Epidemiology of human urban schistosomiasis in Bamako in Mali (the case of the ""populous"" quarter of Bankoni)"	Med Trop (Mars)		427-434	4		52		MLI0007
Journal	Ranque PH	1982	Apercu epidemiologique des nematodoses intestinales au Mali 	Medecine d'Afrique Noire		577-580			29		MLI0010
Journal	Sangho H, Dabo A, Coulibaly H, Doumbo O	2002	Prevalence and perception of schistosomiasis in a periurban school of Bamako in Mali	Bull Soc Pathol Exot		292-294	4		95		MLI0011
Journal	Traore M, Maude GH, Bradley DJ	1998	Schistosomiasis haematobia in Mali: prevalence rate in school-age children as index of endemicity in the community	Tropical Medicine & International Health		214-221	3		3		MLI0012
Journal	Traore M	1989	Schistosomiasis in the Selingue dam area: the integrated approach	Trop Med Parasitol		228-231	2		40		MLI0013
Report	Vercruysse J	1997	Epidemiology and transmission dynamics of schistosoma infections of the S.haematobium group in Mali, Senegal and Zambia		Saly Portudal, Senegal	pp 23-26.					MLI0014
Journal	Dabo A, Badawi HM, Bary B, Doumbo OK	2011	Urinary schistosomiasis among preschool-aged children in Sahelian rural communities in Mali	Parasites & Vectors			21		4		MLI0015
Journal	Dabo, A. Diarra, A. Z. Machault, V. Toure, O. Niambele, D. S. Kante, A. Ongoiba, A. Doumbo, O.	2015	Urban schistosomiasis and associated determinant factors among school children in Bamako, Mali, West Africa	Infect Dis Poverty	""	12 pages	4	""	4	""	MLI0018
Journal	Landoure, A. Dembele, R. Goita, S. Kane, M. Tuinsma, M. Sacko, M. Toubali, E. French, M. D. Keita, A. D. Fenwick, A. Traore, M. S. Zhang, Y.	2012	Significantly reduced intensity of infection but persistent prevalence of schistosomiasis in a highly endemic region in Mali after repeated treatment	PLoS Negl Trop Dis	""	e1774	7	""	6	""	MLI0019
Journal	Tandina, F. Doumbo, S. N. Kone, A. K. Guindo, D. Goita, S. Sissoko, M. Konate, S. Dabo, A. Doumbo, O. K.	2016	Epidemiology of schistosomiasis in the periurban area of Sotuba, 10 years mass treatment began in Mali	Med Sante Trop	""	51-56	""	""	1	""	MLI0020
Journal	Niangaly, H. Djimde, A. A. Traore, B. Sangare, C. P. Guindo, D. Konate, D. Diakite, M. Diallo, N. Maiga-Ascofare, O. Sogoba, N. Dabo, A. Doumbo, O. K.	2012	[Seasonal variability of intestinal helminths and Schistosoma haematobium in a rural area of the Sahel in Mali]	Med Sante Trop	""	430-4	4	""	22	""	MLI0021
Journal	Sacko, M. Magnussen, P. Keita, A. D. Traore, M. S. Landoure, A. Doucoure, A. Madsen, H. Vennervald, B. J.	2011	Impact of Schistosoma haematobium infection on urinary tract pathology, nutritional status and anaemia in school-aged children in two different endemic areas of the Niger River Basin, Mali	Acta Trop	""	S142-50	""	""	120 Suppl 1	""	MLI0022
Journal	Montresor A, Zin TT, Padmasiri E, Allen H, Savioli L	2004	Soil-transmitted helminthiasis in Myanmar and approximate costs for countrywide control	Trop Med Int Health		1012-1015	9		9		MMR0001
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			MMR0001LF
Journal	Thein H, Than S, Htay Htay A, Myint L, Thein Maung M.	1984	Epidemiology and transmission dynamics of Ascaris lumbricoides in Okpo village, rural Burma	Trans R Soc Trop Med Hyg	""	497-504	4	""	78	""	MMR0002
Journal	Lee DS, Chung BH, Lee NS, Nam HW, Kim JH	1999	A survey of helminthic infections in the residents of rural areas near Ulaanbaatar, Mongolia	Korean J Parasitol		145-147	3		37		MNG0001
Journal	Huh S, Yu JR, Kim JI, Gotov C, Janchiv R, Seo JS	2006	Intestinal protozoan infections and echinococcosis in the inhabitants of Dornod and Selenge, Mongolia (2003)	Korean J Parasitol		171-174	2		44		MNG0002
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			MNP0001LF
Report	WHO	2001	WHO country report					World Health Organization		World Health Organization	MNP0002LF
Journal	Gujral L, Vaz RG	2000	Prevalence, risk behavior, and level of information on urinary schistosomiasis in primary school students from the Primeiro de Junho Health District, Maputo, Mozambique	Cad Saude Publica		43-50	1		16		MOZ0001
Journal	Pinhao RC	1961	Incidencia de filarioses no vale do Zambeze	Anais Inst Med Trop		15-18			18		MOZ0001LF
Journal	Muller M, Sanchez RM, Suswillo RR	1989	Evaluation of a sanitation programme using eggs of Ascaris lumbricoides in household yard soils as indicators	Journal of Tropical Medicine and Hygiene		10-16	1		92		MOZ0002
Journal	Rey L, Lourenco MI, Garcia CM	1987	Schistosomiasis: methods of control in communal villages in Mozambique.  1. Control of molluscs, therapy and community participation.	Revista mdica de Moambique		1-6	1		3		MOZ0003
Journal	Ukpe IS	1997	Schistosomiasis in Cabo Delgado, Mozambique	Tropical Doctor		248-249	4		27		MOZ0004
Journal	Guidetti C, Ricci L, Vecchia L	2011	Aetiology of intestinal parasites in a sample of students from Mozambique	Le Infezioni in Medicina		157-165			3		MOZ0005
Journal	Nhantumbo L, Ribeiro Maia JA, Dos Santos FK, Jani IV, Gudo ES, Katzmarzyk PT, Prista A	2013	Nutritional status and its association with physical fitness, physical activity and parasitological indicators in youths from rural mozambique	Am J Hum Biol		516-523	4		25		MOZ0006
Journal	Casmo, V. Augusto, G. Nala, R. Sabonete, A. Carvalho-Costa, F. A.	2014	The effect of hookworm infection and urinary schistosomiasis on blood hemoglobin concentration of schoolchildren living in northern Mozambique	Rev Inst Med Trop	""	219-224	3	""	56	""	MOZ0010
Journal	Noormahomed, E. V. Pividal, J. G. Azzouz, S. Mascaro, C. Delgado-Rodriguez, M. Osuna, A.	2003	Seroprevalence of anti-cysticercus antibodies among the children living in the urban environs of Maputo, Mozambique	Ann Trop Med Parasitol	""	31-5	1	""	97	""	MOZ0011
Journal	Etard JF, Borel E	1987	Epidemiological survey of urinary schistosomiasis in southeastern Mauritania	Tropical Medicine and Parasitology		27-30	1		38		MRT0001
Journal	Monjour L, Niel G, Mogahed A, Sidat M, Gentilini M	1983	Epidemiology of bilharziasis in the Sahel and Sahara regions of Mauritania (sero-immunologic evaluation. 1973)	Bulletin de la Societe de Pathologie Exotique et de ses Filiales		157-165	2		76		MRT0002
Journal	Monjour L, Niel G, Mogahed A, Sidatt M, Gentilini M	1981	Geographical distribution of schistosomiasis in the Senegal River Valley. (Sero-immunological evaluation -1973.)	Annales de la Societe Belge de Medecine Tropicale		453-460	4		61		MRT0003
Journal	Urbani C, Toure A, Hamed AO, Albonico M, Kane I, Cheikna D, Hamed NO, Montresor A, Savioli L	1997	Parasitoses intestinales et schistosomiases dans la vallee du fleuve Senegal en Republique Isamique de Mauritanie	Medicine Tropicale		157-160	2		57		MRT0005
Journal	World Health Organisation	1995	Intestinal parasitic infections and schistosomiasis		Nouakchott	213-220			70		MRT0006
Journal	Ouldabdallahi M, Ouldbezeid M, Diop C, Dem E, Lassana K	2010	[Epidemiology of human schistosomiasis in Mauritania. The right bank of the Senegal River as model]	Bull Soc Pathol Exot		317-322	5		103		MRT0007
Journal	Ould Ahmed Salem CB, Alassane MT	2011	[Prevalence and parasite load of urinary schistosomiasis in schoolchildren in the Wilaya of Gorgol in Mauritania]	Med Trop (Mars)		261-263	3		71		MRT0008
Report	Addiss D and Chuke S	2002	Lymphatic filariasis in the Americas: an epidemiologic history							Centers for Disease Control and Prevention	MTQ0001LF
Journal	Bowie C, Purcell B, Shaba B, Makaula P, Perez M	2004	A national survey of the prevalence of schistosomiasis and soil transmitted helminths in Malawi	BMC Infect Dis		49			4		MWI0001
Journal	Phiri K, Whitty CJM, Graham SM, Ssembatya-Luel G	2000	Urban/rural differences in prevalence and risk factors for intestinal helminth infection in southern Malawi	Annals of Tropical Medicine and Parasitology		381-387	4		94		MWI0002
Journal	Randall AE, Perez MA, Floyd S, Black GF, Crampin A, Ngwira B, Pistoni B, Mulawa D, Sichali L, Mwaungulu L, et al	2002	Patterns of helminth infection and relationship to BCG vaccination in Karonga District, northern Malawi	Transactions of the Royal Society of Tropical Medicine and Hygiene		29-33	1		96		MWI0003
Journal	Wiselka MJ, Robinson MB, Clipsham K, Weddon S	1988	The epidemiology of schistosomiasis in central Malawi	East African Medical Journal		102-107	2		65		MWI0004
Journal	Kapito-Tembo AP, Mwapasa V, Meshnick SR, Samanyika Y, Banda D, Bowie C, Radke S	2009	Prevalence distribution and risk factors for Schistosoma hematobium infection among school children in Blantyre, Malawi	PLoS Negl Trop Dis		e361	1		3		MWI0005
Journal	Msyamboza K, Ngwira B, Banda R, Mkwanda S, Brabin B	2010	Sentinel surveillance of lymphatic filariasis, schistosomiasis soil transmitted helminths and malaria in rural southern Malawi	Malawi Med J		12-14	1		22		MWI0006
Journal	Madsen H, Bloch P, Makaula P, Phiri H, Furu P, Stauffer JR, Jr.	2011	Schistosomiasis in Lake Malawi villages	Ecohealth		163-176	2		8		MWI0007
Journal	Chipeta, M. G. Ngwira, B. Kazembe, L. N.	2013	Analysis of Schistosomiasis haematobium infection prevalence and intensity in Chikhwawa, Malawi: an application of a two part model	PLoS Negl Trop Dis	""	e2131	3	""	7	""	MWI0010
Journal	Moyo, V. B. Changadeya, W. Chiotha, S. Sikawa, D.	2016	Urinary schistosomiasis among preschool children in Malengachanzi, Nkhotakota District, Malawi: Prevalence and risk factors	Malawi Med J	""	10-4	1	""	28	""	MWI0011
Thesis	Kayuni, S. Peeling, R. Makaula, P.	2012	Prevalence of S.haematobium infection among school children living in south-western shores of Lake Malawi	""	""	""	""	""	""	""	MWI0013
Journal	Sagin DD, Mohamed M, Ismail G, Jok JJ, Lim LH, Pui JN	2002	Intestinal parasitic infection among five interior communities at upper Rejang River, Sarawak, Malaysia	Southeast Asian J Trop Med Public Health		18-22	1		33		MYS0003
Journal	Raj SM, Sein KT, Anuar AK, Mustaffa BE	1996	Effect of intestinal helminthiasis on intestinal permeability of early primary schoolchildren	Trans R Soc Trop Med Hyg		666-669	6		90		MYS0004
Journal	Rahman WA	1994	The prevalence and intensity of soil-transmitted helminths in some rural villages in northern peninsular Malaysia	Southeast Asian J Trop Med Public Health		296-299	2		25		MYS0006
Journal	Norhayati M, Zainudin B, Mohammod CG, Oothuman P, Azizi O, Fatmah MS	1997	The prevalence of Trichuris, Ascaris and hookworm infection in Orang Asli children	Southeast Asian J Trop Med Public Health		161-168	1		28		MYS0007
Journal	Oothuman P	1995	Prevalence and reinfection of intestinal helminthiases among school children in an estate	Trop Biomed		 pp. 159 164			12		MYS0008
Journal	Ahmad, A. F. Ngui, R. Muhammad Aidil, R. Lim, Y. A. Rohela, M.	2014	Current status of parasitic infections among Pangkor Island community in Peninsular Malaysia	Trop Biomed	""	836-43	4	""	31	""	MYS0013
Journal	Prod'hon J, Ambroise-Thomas P and HŽbrard G	1975	Enqute sŽro-ŽpidŽmiologique sur la filariose de Bancroft ˆ Mayotte (archipel des Comores)	Cahiers ORSTOMSŽrie Entomologie MŽdicale et Parasitologie		177-191	4		13		MYT0001LF
Book	Brunhes J	1975	La filariose de Bancroft dans la sous-rŽgion malgache (Comores - Madagascar - RŽunion)		Paris			ORSTOM			MYT0002LF
Journal	Blanchy S and Galtier J	1982	La filariose de Bancroft ˆ Mayotte : Žtat actuel de l'endŽmie filarienne et programme de lutte	Cahiers ORSTOMSŽrie Entomologie MŽdicale et Parasitologie		153-159	2		20		MYT0003LF
Journal	Galtier J, Julvez J, Michault A and Isautier H	1987	[Effectiveness of mass chemotherapy campaigns with diethylcarbamazine on blood microfilaria of Wuchereria bancrofti in Mayotte]	Bull Soc Pathol Exot Filiales		826-833	5		80		MYT0004LF
Journal	Evans AC, Markus MB, Steyn E	1990	A survey of the intestinal nematodes of bushmen in Namibia	American Journal of Tropical Medicine and Hygiene		243-247	3		42		NAM0001
Report	La Grange JJP, Steyn E	1983	Bilharzia survey of the Kavango Territory, August - September 1982		Windhoek					Ministry of Health	NAM0002
Journal	Schutte CHJ, Van Deventer JMG	1987	Schistosomiasis in Eastern Caprivi. Part 1: The prevalence of schistosoma species and other parasitic infections in school children	South Africa Journal Epidemiology and Infection					2		NAM0003
Report	Schutte CHJ	1998	Investigation to determine the schistosomiasis and intestinal helminth infection status of school children in northern Namibia								NAM0004
Thesis	Xu G	1995	Prevalence of schistosomiasis among the school children along the water canal of Ombalantu district in northwest Namibia		Heidelberg						NAM0005
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			NCL0001LF
GAELF report	WHO	2005	Global Programme to Eliminate Lymphatic Filariasis. Annual Report on Lymphatic Filariasis 2003								NCL0002LF
Journal	Pfister R	1954	[Results of an inquiry on microfilaria carriers in French West Africa]	Bull Soc Pathol Exot Filiales		408-411	3		47		NER0001LF
Journal	Bretagne S, Rey JL, Sellin B, Mouchet F, Roussin S	1985	Urinary schistosomiasis and urinary tract infections. Study of their relationships in two villages in Niger	Bulletin de la Societe de Pathologie Exotique		79-88	1		78		NER0002
Abstract	OCCGE	1969	Rapport final de la neuviem conference technique de IÕOCCGE, 21-25 April 1969. Bobo-Dioulasso, Burkina Faso.								NER0002LF
Journal	Campagne G, Garba A, Barkire H, Vera C, Sidiki A, Chippaux JP	2001	Continued ultrasonic follow-up of children infected with Schistosoma haematobium after treatment with praziquantel	Trop Med Int Health		24-30	1		6		NER0003
Journal	Develoux M, Mouchet F, Labo R	1986	Gastrointestinal parasites in school children in Niger	Bulletin de la Societe de Pathologie Exotique et de ses Filiales		571-575	4		79		NER0005
Journal	Ernould JC, Garba A, Labbo R, Kaman Kaman A, Sidiki A, Djibrilla A, Chippaux JP	2004	Heterogeneity of Schistosoma haematobium transmission in irrigated fields.	Bull Soc Pathol Exot		19-23	1		97		NER0006
Journal	Ernould JC, Kaman A, Labbo R, Couret D, Chippaux JP	2000	Recent urban growth and urinary schistosomiasis in Niamey, Niger	Trop Med Int Health		431-437	6		5		NER0007
Journal	Heurtier Y, Lamothe F, Develoux M, Docquier J, Mouchet F, Sellin E, Sellin B	1986	Urinary tract lesions due to Schistosoma haematobium infection assessed by ultrasonography in a community based study in Niger	American Journal of Tropical Medicine and Hygiene		1163-1172	6		35		NER0010
Journal	Lamothe F, Develoux M, Devidas A, Mouchet F, Sellin B	1989	Sonographic study of morbidity due to urinary schistosomiasis in a hyperendemic village in Niger	Bulletin de la Societe de Pathologie Exotique et de ses Filiales		678-684	5		82		NER0011
Journal	Laurent C, Lamothe F, Develoux M, Sellin B, Mouchet F	1990	Ultrasonographic assessment of urinary tract lesions due to Schistosoma haematobium in Niger after four consecutive years of treatment with praziquantel	Tropical Medicine and Parasitology		139-142	2		41		NER0012
Journal	Mouchet F, Vera C, Bremond P, Devidas A, Sellin B	1990	Urinary schistosomiasis in the Saharan mountain massif of the Air (Republic of Niger)	Bulletin de la Societe de Pathologie Exotique et de ses Filiales		249-256	2		83		NER0013
Journal	Mouchet F, Labo R, Develoux M, Sellin B	1987	Schistosomiasis survey in Gaya District (Republic of Niger): discovery of a schistosomiasis mansoni endemic area	Annales de la Societe Belge de Medecine Tropicale		23-29	1		67		NER0014
Journal	Mouchet F, Develoux M, Magassa MB, Sellin B	1988	Epidemiological study in a focus of Schistosoma mansoni infection in Bana (Niger)	Medecine Tropicale		209-213	3		48		NER0015
Journal	Perel Y, Sellin B, Perel C, Arnold P, Mouchet F	1985	Use of urine collectors for infants from 0 to 4 years of age in a mass survey of urinary schistosomiasis in Niger	Medecine Tropicale (Marseilles)		429-433	4		45		NER0016
Journal	Prual A, Daouda H, Develoux M, Sellin B, Galan P, Hercberg S	1992	Consequences of Schistosoma haematobium infection on the iron status of schoolchildren in Niger	American Journal of Tropical Medicine and Hygiene		291-297	3		47		NER0019
